id_doc,titre,texte,langue,date_publication,hash_fingerprint,type_donnee,source_nom,date_collecte,flux_format,territoire
222,"Budget 2026 : une première réunion entre le gouvernement et les groupes parlementaires a eu lieu, sans avancée notable","Une première réunion sur le budget avec les groupes parlementaires, boudée par la gauche, a été organisée à la mi-journée au ministère des Relations avec le Parlement. D'autres ""réunions de travail thématiques"" devraient suivre.",fr,2025-11-03 14:49:52.000000,d49c538e47233793bf1acc65f4d124ad1a35567e40c9cb5794a0f7f1f98f682c,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:53:47.570267,rss,
329,"Shein : « Chaïne », « Cheine », « Chi-ine »… En vrai, comment ça se prononce ?",Le géant de l’ultra fast-fashion rejoindra le magasin BHV de Paris ce mercredi 5 novembre. Il n’a pas attendu cette date pour rejoindre le club des marques dont on ne sait pas exactement comment elles se prononcent,fr,2025-11-03 14:47:54.000000,b0815682eca2ba79d46baf7f36cd1aacf57ab61ad1c1b48aef73ca23bd3a46e4,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 15:01:26.321691,rss,
287,"Fin de vie : le Conseil d’Etat autorise l’interruption de soins à un patient, contre l’avis de la famille","Un combat juridique oppose depuis plusieurs mois l’institut de cancérologie Gustave-Roussy à la famille de Chabane Teboul, 64 ans, dans le coma après un cancer de la gorge.",fr,2025-11-03 14:47:05.000000,6698ada6ec205f445ddca8ee5bf1574869b697724a1c247bc98cbb0924902b16,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:53:47.570267,rss,
286,Braquage à l’explosif d’une raffinerie d’or à Lyon : le butin a été récupéré,"L’interpellation deux heures après les faits, dans un appartement de Vénissieux, de cinq hommes et d’une femme a permis de retrouver 306 kilogrammes de métaux précieux, d’une valeur estimée à 28 millions d’euros.",fr,2025-11-03 14:38:25.000000,3fa8ed56cb095e5366e3c8fd6abe35c698ee9e26536420b2d7a9576540d89b84,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:53:47.570267,rss,
205,"EN DIRECT, budget 2026 : les débats reprennent, après une réunion au ministère des relations avec le Parlement boycottée par la gauche","« Nous ne participons pas à des réunions de négociation budgétaire avec l’extrême droite », avaient commenté à la mi-journée les socialistes auprès du « Monde », pour expliquer le refus de participer à cette réunion, organisée par le gouvernement.",fr,2025-11-03 14:34:40.000000,63eda4765b321df22e03898d9f9a888084c899fb0ca4e919758a4504526a8d8a,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:36:35.320668,rss,
281,"EN DIRECT, budget 2026 : les débats reprennent, après une réunion au ministère des relations avec le Parlement boycottée par la gauche","« Nous ne participons pas à des réunions de négociation budgétaire avec l’extrême droite », avaient commenté à la mi-journée les socialistes auprès du « Monde », pour expliquer leur refus de participer à cette réunion organisée par le gouvernement.",fr,2025-11-03 14:34:34.000000,34b5181a87ed9dff7a6873c754e229a2f5c69411973afd864f4b86e48b533e84,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:53:47.570267,rss,
145,"""Shein doit rendre des comptes"" : ce que l'on sait de la vente de poupées à caractère pédopornographique par plusieurs géants du e-commerce","Le site chinois a retiré de la vente des poupées sexuelles d'apparence enfantine après des signalements. Une enquête a été ouverte par les autorités, qui veulent convoquer les grandes plateformes de vente en ligne.",fr,2025-11-03 14:30:14.000000,1bf3c6475bdbc401608ccb965b4771eed12dc474d891d78a5ef2881493f5e0d1,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:36:35.320668,rss,
154,Braquage à Lyon : plus de 300 kg de métaux précieux récupérés par la police pour un montant estimé à 28 millions d'euros,"Le procureur de Lyon assure avoir requis la mise en examen des six suspects, notamment pour ""association de malfaiteurs en bande organisée et vol avec violence"", ainsi que leur placement en détention provisoire.",fr,2025-11-03 14:28:00.000000,703ca684484cd6bcc5d59259889e5c2537cd2e7390df0dc681283ab8a1febf3f,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:36:35.320668,rss,
149,"Le Conseil d'Etat autorise l'interruption de soins à un patient, contre l'avis de la famille","Un combat juridique oppose depuis plusieurs mois l'Institut Gustave-Roussy à la famille de Chabane Teboul, plongé dans un coma profond depuis cet été à la suite de plusieurs arrêts cardiorespiratoires.",fr,2025-11-03 14:23:42.000000,131f22d33791611d5e36b25bcf075c1597e50fb79c84a80c79df2142ee61f720,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:36:35.320668,rss,
284,"Au Soudan, les violences pourraient constituer des crimes contre l’humanité, selon le procureur de la CPI","Les Forces de soutien rapides ont pris la ville d’El-Fasher, capitale du Darfour du Nord, le 26 octobre. Depuis, les témoignages se multiplient sur les exécutions, les viols et les pillages commis.",fr,2025-11-03 14:14:14.000000,c15aedfcf297f46dfe5d55b66ba1b2f9fecacc2792ff408f5e4972684e467717,API,Flux RSS Multi-Sources (Franceinfo + 20 Minutes + Le Monde),2025-11-03 14:53:47.570267,rss,
